;;;;;;;;;;;
AÑO SANCIÓN;MES SANCIÓN;Canal / Cable Operador;MES EMISIÓN;AÑO EMISIÓN;Contenidos Denunciados;MULTA ;TEMA DENUNICIADO;;;;
2012;OCTUBRE;VTR;ABRIL;2012;-Se afecta a la formación espiritual e intelectual de la niñez y la juventud por la violencia, lenguaje vulgar y sexualidad explícita en HTE.;150;Contenido Inapropiado para Menores en Horario de Protección (HTE);;;;
2012;OCTUBRE;VTR;MAYO;2012;-Se afecta a la formación espiritual e intelectual de la niñez y la juventud por mostrar imágenes y tratar tópicos de violencia y sexo en HTE.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;DICIEMBRE;CHILEVISIÓN;AGOSTO;2013;– Se vulnera la dignidad personal de un menor supuesta víctima de abusos sexuales.;100;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2013;DICIEMBRE;DIRECTV;SEPTIEMBRE;2013;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por secuencias de sexo y violencia excesiva inapropiadas para ser visionados por menores de edad en HTE.;120;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;DICIEMBRE;TELECANAL;AGOSTO;2013;– Se afecta la formación espiritual e intelectual de la niñez y la juventud al emitir contenidos inapropiados para ser vistos por menores en HTE.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;DICIEMBRE;VTR;SEPTIEMBRE;2013;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por secuencias de sexo y violencia excesiva inapropiadas para ser visionados por menores de edad en HTE.;120;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;NOVIEMBRE;CANAL 13;JULIO;2013;– Se vulnera la dignidad personal de don Claudio Vargas, padre de un muchacho fallecido en un accidente en el cerro Manquehue.;100;"Vulneración de la Dignidad Personal
";;;;
2013;NOVIEMBRE;CHILEVISIÓN;JULIO;2013;– No cumple con el mínimo de transmitir una hora a la semana de programación cultural.;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2013;NOVIEMBRE;CLARO;JUNIO;2013;– Se afecta la formación espiritual e intelectual de la niñez y la juventud al emitir contenidos inapropiados para ser vistos por menores en HTE.;200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;NOVIEMBRE;MEGA;JUNIO;2013;– Se vulnera la dignidad de un menor supuestamente abusado.;120;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2013;NOVIEMBRE;MEGA;JULIO;2013;– Se vulnera la dignidad personal de los presuntos deudores del alquiler de un inmueble.;300;"Vulneración de la Dignidad Personal
";;;;
2013;NOVIEMBRE;TV+;MAYO;2013;– Exhibición de una autopromoción en HTE con contenido inadecuado para ser visto por menores.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;OCTUBRE;CHILEVISIÓN;MAYO;2013;– Se vulnera la dignidad personal de menores presuntamente víctimas de delitos de connotación sexual y del presunto agresor, además de la formación espiritual e intelectual de la niñez y la juventud.;100;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2013;OCTUBRE;CHILEVISIÓN;JUNIO;2013;– No cumple con el mínimo de transmitir una hora a la semana de programación cultural. ;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2013;OCTUBRE;LA RED ;ABRIL;2013;– Se vulnera la dignidad personal de Michelle Bachelet.;100;"Vulneración de la Dignidad Personal
";;;;
2013;OCTUBRE;LA RED ;MAYO;2013;– Se vulnera la dignidad personal de Edmundo González Robles .;100;"Vulneración de la Dignidad Personal
";;;;
2013;OCTUBRE;MEGA;MAYO;2013;– Se vulnera la dignidad personal de un trabajador, la paz social y la formación espiritual y moral de la infancia y la juventud.;200;"Vulneración de la Dignidad Personal
";;;;
2013;OCTUBRE;MEGA;MAYO;2013;– Se vulnera la dignidad personal de una madre y su hijo.;200;"Vulneración de la Dignidad Personal
";;;;
2013;OCTUBRE;UC TV;MAYO;2013;– Expresiones del panelista Sergio Rojas vulneran la dignidad personal de Daniela Christie, además de ser transmitidas en HTE a pesar de ser inapropiadas para ser visionadas por menores de edad.;200;"Vulneración de la Dignidad Personal
";;;;
2013;OCTUBRE;VTR;MAYO;2013;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en horario para todo espectador.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
;;;;;;;;;;;
2013;AGOSTO;CHILEVISIÓN;MAYO;2013;– Se vulnera la dignidad y el derecho a ver convenientemente protegidas la identidad y vida privada de una mujer, supuesta víctima de los delitos de secuestro y violación.;120;"Vulneración de la Dignidad Personal
";;;;
2013;AGOSTO;CHILEVISIÓN;ABRIL;2013;– Se vulnera la dignidad y el derecho a ver convenientemente protegidas la identidad y vida privada de una mujer, supuesta víctima de los delitos de secuestro y violación.;120;"Vulneración de la Dignidad Personal
";;;;
2013;AGOSTO;LA RED;ABRIL;2013;– No cumple con el mínimo de transmitir una hora a la semana de programación cultural.;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2013;AGOSTO;LA RED;ABRIL;2013;– No cumple con el mínimo de transmitir una hora a la semana de programación cultural.;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2013;AGOSTO;MEGA;ABRIL;2013;– Se vulnera la dignidad y el derecho a ver convenientemente protegidas la identidad y vida privada de una mujer, supuesta víctima de los delitos de secuestro y violación.;120;"Vulneración de la Dignidad Personal
";;;;
2013;AGOSTO;MEGA;ABRIL;2013;– Se vulnera la dignidad y el derecho a ver convenientemente protegidas la identidad y vida privada de una mujer, supuesta víctima de los delitos de secuestro y violación.;0;"Vulneración de la Dignidad Personal
";;;;
2013;AGOSTO;VTR;MARZO;2013;– Se vulnera la dignidad de las personas pertinentes al pueblo boliviano, del señor Evo Morales y del señor Sebastián Piñera Echenique. ;120;"Vulneración de la Dignidad Personal
";;;;
2013;AGOSTO;VTR;ABRIL;2013;– Se emiten secuencias de violencia excesiva no apropiadas para ser visionadas por menores en horario para todo espectador. (120 UTM);120;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;AGOSTO;VTR;ABRIL;2013;– Se vulnera la dignidad y el derecho a ver convenientemente protegidas la identidad y vida privada de una mujer, supuesta víctima de los delitos de secuestro y violación.;120;"Vulneración de la Dignidad Personal
";;;;
2013;JULIO;CANAL 13;MARZO;2013;– Se vulnera la dignidad de un menor de edad.;200;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2013;JULIO;CHILEVISIÓN;ABRIL;2013;– Chistes que se ríen de la raza negra, vulnerando la paz social y la dignidad de las personas.;300;"Vulneración de la Dignidad Personal
";;;;
2013;JULIO;CHILEVISIÓN;MAYO;2013;– Chistes que se ríen del Holocausto y la raza negra, vulnerando la paz social y la dignidad de las personas.;300;"Vulneración de la Dignidad Personal
";;;;
2013;JULIO;CHILEVISIÓN;MARZO;2013;"-Se afecta a la formación espiritual e intelectual de la niñez y la juventud por emitir diálogos e imágenes inapropiados para ser visionados por menores de edad en HTE.

-Se vulnera la dignidad personal de una menor abusada sexualmente.";320;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;JULIO;DIRECTV;ABIRL;2013;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por secuencias de sexo y violencia excesiva inapropiadas para ser visionados por menores de edad en HTE.;120;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;JULIO;MEGA;ABRIL;2013;"– Se vulnera la dignidad personal de una menor de 11 años supuestamente poseída por un espíritu.

– Se vulnera la dignidad personal de una menor de edad supuestamente secuestrada y violada.";400;"Vulneración de la Dignidad Personal
";;;;
2013;JULIO;VTR;FEBRERO;2013;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por exponer a secuencias inapropiadas para ser visionadas por menores de edad en HTE.;80;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;JULIO;VTR;ENERO;2013;– Se vulnera la dignidad personal de la gente perteneciente a la etnia mapuche.;120;"Vulneración de la Dignidad Personal
";;;;
2013;JUNIO;PACÍFICO CABLE;ENERO;2013;"– Se afecta a la formación espiritual e
intelectual de la niñez y la juventud por emitir contenido inadecuado para ser
visionado por menores de edad en HTE";20;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;JUNIO;TELEFÓNICA;FEBRERO;2013;"– Se afecta a la formación
espiritual e intelectual de la niñez y la juventud por emitir contenido
inadecuado para ser visionado por menores de edad en HTE.";50;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
;;;;;;;;;;;
;;;;;;;;;;;
2013;MARZO;CANAL 13;NOVIEMBRE;2012;– Se vulnera la dignidad personal de Pamela Díaz y su hija menor de edad Trinidad Neira Díaz.;150;"Vulneración de la Dignidad Personal
";;;;
2013;MARZO;MEGA;NOVIEMBRE;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por emitir contenido inadecuado para ser visionado por menores de edad en HTE.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
;;;;;;;;;;;
2013;ENERO;CANAL 13;SEPTIEMBRE;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por exponer secuencias y contenidos violentos en HTE.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2013;ENERO;CHILEVISIÓN ;OCTUBRE;2012;– Chistes que se burlan del holocausto y de personas de raza negra, vulnerando la democracia, la paz social y la dignidad de las personas.;200;"Vulneración de la Dignidad Personal
";;;;
2013;ENERO;LA RED;SEPTIEMBRE;2012;– Chistes que se burlan del holocausto y de personas de raza negra, vulnerando la democracia, la paz social y la dignidad de las personas.;0;"Vulneración de la Dignidad Personal
";;;;
2013;ENERO;MEGA;OCTUBRE;2012;"– Se vulnera la dignidad personal de una anciana de nombre Carmen (*Amonestación).

– Se vulnera la dignidad personal de una menor de cinco años.";200;"Vulneración de la Dignidad Personal
";;;;
2013;ENERO;TELEFÓNICA;OCTUBRE;2012;– Se afecta a la formación espiritual e intelectual de la niñez y la juventud por exponer a secuencias violentas en HTE.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;DICIEMBRE ;CHILEVISIÓN;JULIO;2014;– Se vulnera la integridad psíquica de una madre y su hija víctimas de parricidio.;200;"Vulneración de la Dignidad Personal
";;;;
2014;DICIEMBRE ;CLARO;SEPTIEMBRE;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en HTE.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;DICIEMBRE ;DIRECTV;AGOSTO;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en HTE.;200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;DICIEMBRE ;TELEFÓNICA;JULIO;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en HTE.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;DICIEMBRE ;TV +;AGOSTO;2014;– Se vulnera la dignidad personal del asesino del sacerdote Faustino Gazziero. (200 UTM);200;"Vulneración de la Dignidad Personal
";;;;
2014;DICIEMBRE ;TV +;AGOSTO;2014;– Se vulnera la dignidad de una menor víctima de violación. (300 UTM);300;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;DICIEMBRE ;VTR;AGOSTO;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en HTE. (200 UTM);200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;DICIEMBRE ;VTR;AGOSTO;2014;– Se emiten secuencias con un importante grado de de crudeza y violencia en HTE.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;NOVIEMBRE ;CLARO;JUNIO;2014;– Se emiten secuencias inadecuadas para ser visionadas por menores en horario para “todo espectador”.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;NOVIEMBRE ;TELEFÓNICA;JULIO;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador”.;200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;NOVIEMBRE ;TV CABLE NACIMIENTO;MARZO;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador” (100 UTM).;20;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;OCTUBRE ;CHILEVISIÓN ;MAYO;2014;– Se vulnera la dignidad de suicida de Costanera Center y de sus familiares. (300 UTM);300;"Vulneración de la Dignidad Personal
";;;;
2014;OCTUBRE ;CHILEVISIÓN ;JUNIO;2014;– Se vulnera el derecho fundamental a la información que tienen las personas mediante la entrega de información incompleta y sesgada sobre el “Proyecto Hidroeléctrico Alto Maipo”. (Amonestación);0;"Sensacionalismo y Desinformación
";;;;
2014;OCTUBRE ;CHILEVISIÓN ;;2014;– No haber transmitido el minutaje mínimo legal semanal de programación cultural. (50 UTM);50;"Incumplimiento de Normativa de Programación Cultural
";;;;
2014;OCTUBRE ;DIRECTV;JULIO;2014;– Se emiten secuencias inadecuadas para ser visionadas por menores en horario para “todo espectador”.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;OCTUBRE ;TELECANAL;JUNIO;2014;– Se emiten secuencias inadecuadas para ser visionadas por menores en horario para “todo espectador”.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;OCTUBRE ;VTR;JUNIO;2014;– Se emiten secuencias inadecuadas para ser visionadas por menores en horario para “todo espectador”.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;AGOSTO;CANAL 13;MAYO;2014;– Se vulnera la honra y privacidad de los integrantes de la familia Apiolaza Gutiérrez.;150;"Vulneración de la Dignidad Personal
";;;;
2014;AGOSTO;VTR;JUNIO;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador”.;200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;AGOSTO;CANAL 13;JUNIO;2014;– Dichos de Dra. María Luisa Cordero vulneran la dignidad del futbolista nacional Alexis Sánchez.;100;"Vulneración de la Dignidad Personal
";;;;
2014;AGOSTO;CHILEVISIÓN ;MARZO;2014;– Fueron emitidos contenidos sobre el comercio sexual que son inadecuados para ser visionados por menores, pudieren afectar su formación espiritual e intelectual.;0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;AGOSTO;DIRECTV;MARZO;2014;-Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador” (100 UTM).;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;AGOSTO;DIRECTV;MAYO;2014;-Se emiten secuencias de extrema violencia y crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador” (100 UTM).;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;AGOSTO;DIRECTV;MAYO;2014;-Se emiten secuencias de extrema violencia y crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador” (100 UTM).;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;AGOSTO;LA RED;ABRIL;2014;– No haber transmitido el minutaje mínimo legal semanal de programación cultural.;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2014;AGOSTO;MEGA;ABRIL;2014;– No haber transmitido el minutaje mínimo legal semanal de programación cultural.;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2014;AGOSTO;TELEFÓNICA;ABRIL;2014;-Se emiten secuencias de extrema violencia y crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador” (100 UTM).;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;AGOSTO;TV +;ABRIL;2014;– No haber transmitido el minutaje mínimo legal semanal de programación cultural.;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2014;AGOSTO;VTR;MARZO;2014;-Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador” (100 UTM).;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;JULIO ;CHILEVISIÓN ;FEBRERO;2014;– Nota sobre violencia intrafamiliar de Roxana Muñoz y Kike Acuña no respeta la formación espiritual e intelectual de la niñez y la juventud (100 UTM).;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;JULIO ;CHILEVISIÓN ;ABRIL;2014;– Los juicios de Francisca Merino hacia la cantante Anita Tijoux vulneran su dignidad y afectan la formación espiritual e intelectual de la niñez y la juventud (*amonestación);0;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;JULIO ;TELEFÓNICA;MARZO;2014;– Se emiten secuencias de extrema crudeza inadecuadas para ser visionadas por menores en horario para “todo espectador”.;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
;;;;;;;;;;;
2014;MAYO;CANAL 13;DICIEMBRE;2013;– Se vulnera la dignidad personal de menor de edad supuestamente abusada.;200;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;MAYO;LA RED;NOVIEMBRE;2013;– Se vulnera la dignidad personal Eduardo Bonvallet y la formación espiritual de la infancia y la juventud. (100 UTM);100;"Vulneración de la Dignidad Personal
";;;;
2014;MAYO;LA RED;DICIEMBRE;2013;"– Se vulnera la dignidad personal de Jorge “Kike” Acuña y de Nicole “Luli” Moreno y la formación espiritual de la infancia y la juventud.
(200 UTM)";200;"Vulneración de la Dignidad Personal
";;;;
2014;MAYO;MEGA;NOVIEMBRE;2013;– Se vulnera la dignidad personal de un individuo cuya hija fue violada por su padrastro.;100;"Vulneración de la Dignidad Personal
";;;;
2014;MAYO;VTR;ENERO;2014;"– Se emiten secuencias de extrema crudeza
inadecuadas para ser visionadas por menores en horario para “todo espectador”.";100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;ABRIL;CANAL 13;NOVIEMBRE;2013;– Se vulnera la dignidad personal de menores de edad supuestamente abusados.;200;Vulneración de Derechos de Menores (Identidad y Privacidad);;;;
2014;ABRIL;CHILEVISIÓN;NOVIEMBRE;2013;– Se vulnera la dignidad personal de menores de edad supuestamente abusados.;200;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;ABRIL;MEGA;OCTUBRE;2013;– Se vulnera la dignidad personal de un individuo y la formación espiritual de la infancia y la juventud. (400 UTM);400;"Vulneración de la Dignidad Personal
";;;;
2014;ABRIL;MEGA ;NOVIEMBRE;2013;-Se vulnera la dignidad personal de menores de edad supuestamente abusados. (250 UTM);250;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;ABRIL;TV +;NOVIEMBRE;2013;– Se vulnera la dignidad personal de una menor de edad supuestamente abusada.;200;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;MARZO;MEGA;SEPTIEMBRE;2013;– Se vulnera la dignidad personal de tres menores, supuestamente abusadas por su padre, ex ejecutivo del Banco Central.;400;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;MARZO;TELECANAL;OCTUBRE;2013;-No cumplir con la obligación de transmitir una hora de programación cultural a la semana.;0;"Incumplimiento de Normativa de Programación Cultural
";;;;
2014;MARZO;TV +;SEPTIEMBRE;2013;– Se vulnera la dignidad personal de tres menores, supuestamente abusadas por su padre, ex ejecutivo del Banco Central;200;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;MARZO;VTR;OCTUBRE;2013;-Se muestra publicidad de bebidas alcohólicas “Miller Lite” en horario para “todo espectador”.;20;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2014;FEBRERO ;MEGA;OCTUBRE;2013;– Se vulnera la dignidad de las partes en un conflicto y se afecta la formación espiritual e intelectual de la niñez y juventud.;300;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;ENERO;CANAL 13;SEPTIEMBRE;2013;– Se vulnera la dignidad personal de tres menores, supuestamente abusadas por su padre, ex ejecutivo del Banco Central.;200;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2014;ENERO;CHILEVISIÓN;NOVIEMBRE;2013;"– Ante escenas de conflicto y agresión verbal, se afecta la formación espiritual e intelectual de la niñez y la juventud; y se vulnera la dignidad personal de un vecino de la Villa Lo Bascuñán, de Puente Alto.";120;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;DICIEMBRE;CHILEVISIÓN;MAYO;2015;– Se vulnera la dignidad personal, la intimidad, vida privada y honra de un sujeto agredido por una mujer. (300 UTM);300;"Vulneración de la Dignidad Personal
";;;;
2015;DICIEMBRE;CHILEVISIÓN;MAYO;2015;-Se vulnera la dignidad personal de un menor de edad. (300 UTM);300;"Vulneración de Derechos de Menores (Identidad y Privacidad)
";;;;
2015;DICIEMBRE;CLARO;MAYO;2015;– Se transmite en “horario para todo espectador”, contenido no apto para menores de edad. (100 UTM).;100;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;DICIEMBRE;CLARO;JUNIO;2015;– Se emite en “horario para todo espectador”, contenido no apto para menores de edad. (150 UTM);150;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;DICIEMBRE;DIRECTV;JUNIO;2015;– Se emite en “horario para todo espectador”, no obstante su calificación como “para mayores de 18 años”.;200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;DICIEMBRE;TELEFÓNICA;MAYO;2015;– Se emite en “horario para todo espectador”, contenido no apto para menores de edad. (200 UTM);200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;DICIEMBRE;TELEFÓNICA;JUNIO;2015;– Se emite en “horario para todo espectador”, contenido no apto para menores de edad. (200 UTM);200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;DICIEMBRE;VTR;MAYO;2015;– Se emite en “horario para todo espectador”, contenido no apto para menores de edad. (200 UTM);200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;DICIEMBRE;VTR;JUNIO;2015;– Se emite en “horario para todo espectador”, contenido no apto para menores de edad. (200 UTM);200;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;NOVIEMBRE;CHILEVISIÓN;ABRIL;2015;– Se vulnera la formación espiritual e intelectual de la niñez y juventud por nota que explica, en horario de todo espectador, como utilizar el gas butano de los encendedores, como estupefaciente.;300;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
2015;NOVIEMBRE;CLARO;ABRIL;2015;– Se transmite en “horario para todo espectador”, contenido no apto para menores de edad. (100 UTM).;300;"Contenido Inapropiado para Menores en Horario de Protección (HTE)
";;;;
